"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","273","Create file with empty directory","LMS service","Tue May 06 13:40:46 GMT 2025","passed","Tue May 06 13:40:46 GMT 2025","Validate entity","Files","",""
"","37","Create course","LMS service","Tue May 06 13:40:41 GMT 2025","passed","Tue May 06 13:40:41 GMT 2025","Create entity","Courses","",""
"","289","Create user","LMS service","Tue May 06 13:40:47 GMT 2025","passed","Tue May 06 13:40:47 GMT 2025","Create entity","Users","",""
"","262","Create file with empty filename","LMS service","Tue May 06 13:40:45 GMT 2025","passed","Tue May 06 13:40:45 GMT 2025","Validate entity","Files","",""
"","25","Create exercise","LMS service","Tue May 06 13:40:41 GMT 2025","passed","Tue May 06 13:40:41 GMT 2025","Create entity","Exercises","",""
"","25","Delete file","LMS service","Tue May 06 13:40:46 GMT 2025","passed","Tue May 06 13:40:46 GMT 2025","Delete entity","Files","",""
"","14","Get file","LMS service","Tue May 06 13:40:45 GMT 2025","passed","Tue May 06 13:40:45 GMT 2025","Get entity","Files","",""
"","290","Delete exercise","LMS service","Tue May 06 13:40:43 GMT 2025","passed","Tue May 06 13:40:43 GMT 2025","Delete entity","Exercises","",""
"","290","Get exercise","LMS service","Tue May 06 13:40:42 GMT 2025","passed","Tue May 06 13:40:42 GMT 2025","Get entity","Exercises","",""
"","273","Create file","LMS service","Tue May 06 13:40:44 GMT 2025","passed","Tue May 06 13:40:44 GMT 2025","Create entity","Files","",""
"","262","Get file with incorrect file id","LMS service","Tue May 06 13:40:47 GMT 2025","passed","Tue May 06 13:40:47 GMT 2025","Validate entity","Files","",""
"","13","Get user me","LMS service","Tue May 06 13:40:48 GMT 2025","passed","Tue May 06 13:40:48 GMT 2025","Get entity","Users","",""
"","29","Update exercise","LMS service","Tue May 06 13:40:42 GMT 2025","passed","Tue May 06 13:40:42 GMT 2025","Update entity","Exercises","",""
"","20","Get exercises","LMS service","Tue May 06 13:40:43 GMT 2025","passed","Tue May 06 13:40:44 GMT 2025","Get entities","Exercises","",""
"","286","Login with correct email and password","LMS service","Tue May 06 13:40:38 GMT 2025","passed","Tue May 06 13:40:39 GMT 2025","Login","Authentication","",""
"","299","Update course","LMS service","Tue May 06 13:40:39 GMT 2025","passed","Tue May 06 13:40:39 GMT 2025","Update entity","Courses","",""
"","29","Get courses","LMS service","Tue May 06 13:40:40 GMT 2025","passed","Tue May 06 13:40:40 GMT 2025","Get entities","Courses","",""
"","503","Create user","LMS service","Tue May 06 13:40:46 GMT 2025","passed","Tue May 06 13:40:47 GMT 2025","Create entity","Users","",""
"","558","Create user","LMS service","Tue May 06 13:40:47 GMT 2025","passed","Tue May 06 13:40:48 GMT 2025","Create entity","Users","",""
